ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688981.SH,20231109,58.01,58.61,56.87,57.0,58.31,-1.31,-2.2466,240178.41,1380902.451
688981.SH,20231110,55.55,56.18,53.93,54.39,57.0,-2.61,-4.5789,497180.71,2731319.262
688981.SH,20231113,54.56,54.88,53.63,54.24,54.39,-0.15,-0.2758,249508.46,1350562.376
688981.SH,20231114,54.22,54.88,53.96,54.65,54.24,0.41,0.7559,229617.44,1248172.525
688981.SH,20231115,55.02,55.19,54.32,54.32,54.65,-0.33,-0.6038,197293.29,1078282.399
688981.SH,20231116,54.01,54.2,53.25,53.42,54.32,-0.9,-1.6568,198555.33,1064433.885
688981.SH,20231117,54.0,54.07,53.38,53.7,53.42,0.28,0.5241,153105.41,821891.004
688981.SH,20231120,53.57,54.31,53.22,53.92,53.7,0.22,0.4097,195936.77,1053080.949
688981.SH,20231121,53.98,54.34,53.58,53.61,53.92,-0.31,-0.5749,156090.2,843669.046
688981.SH,20231122,53.42,53.79,52.63,52.64,53.61,-0.97,-1.8094,167712.45,893395.082
688981.SH,20231123,52.5,53.46,52.42,53.38,52.64,0.74,1.4058,142333.29,753895.794
688981.SH,20231124,53.2,54.2,53.15,54.09,53.38,0.71,1.3301,182634.35,981410.035
688981.SH,20231127,54.09,54.79,53.6,54.61,54.09,0.52,0.9614,229085.63,1242797.857
688981.SH,20231128,54.69,54.88,54.2,54.55,54.61,-0.06,-0.1099,153920.83,840697.47
688981.SH,20231129,54.61,54.79,53.6,53.7,54.55,-0.85,-1.5582,141340.76,764116.505
688981.SH,20231130,53.76,54.19,53.45,53.7,53.7,0.0,0.0,107828.74,580168.888
688981.SH,20231201,53.6,54.57,52.9,54.15,53.7,0.45,0.838,178654.82,960244.809
688981.SH,20231204,54.15,54.53,53.03,53.18,54.15,-0.97,-1.7913,165567.6,886710.47
688981.SH,20231205,53.05,53.17,52.39,52.39,53.18,-0.79,-1.4855,143970.97,758829.188
688981.SH,20231206,52.16,52.78,51.74,51.97,52.39,-0.42,-0.8017,182131.73,950451.751
688981.SH,20231207,51.88,52.67,51.55,52.67,51.97,0.7,1.3469,232852.36,1215586.143
688981.SH,20231208,52.67,52.68,51.1,52.55,52.67,-0.12,-0.2278,381398.23,1985072.089
688981.SH,20231211,52.01,53.22,51.7,53.18,52.55,0.63,1.1989,219874.36,1154536.24
688981.SH,20231212,53.24,54.17,52.86,54.12,53.18,0.94,1.7676,209746.32,1124677.203
688981.SH,20231213,54.0,54.56,53.7,53.75,54.12,-0.37,-0.6837,179162.95,970375.525
688981.SH,20231214,54.0,54.2,53.07,53.1,53.75,-0.65,-1.2093,123584.24,664063.613
688981.SH,20231215,53.29,54.14,53.03,53.6,53.1,0.5,0.9416,121309.24,651165.129
688981.SH,20231218,53.49,53.99,53.2,53.74,53.6,0.14,0.2612,100651.68,540840.132
688981.SH,20231219,53.65,54.94,53.61,54.76,53.74,1.02,1.898,204125.23,1112052.09
688981.SH,20231220,54.89,55.24,54.46,54.51,54.76,-0.25,-0.4565,144750.05,793468.719
688981.SH,20231221,54.24,54.7,53.36,54.57,54.51,0.06,0.1101,144982.78,786354.87
688981.SH,20231222,54.49,55.19,54.39,54.79,54.57,0.22,0.4032,151735.06,832872.997
688981.SH,20231225,54.6,55.0,52.85,53.01,54.79,-1.78,-3.2488,177883.68,954109.664
688981.SH,20231226,53.01,53.23,51.8,51.85,53.01,-1.16,-2.1883,144016.32,754093.59
688981.SH,20231227,51.83,52.29,51.18,51.91,51.85,0.06,0.1157,151734.5,786451.367
688981.SH,20231228,51.7,53.45,51.68,53.13,51.91,1.22,2.3502,192118.6,1015242.627
688981.SH,20231229,53.0,53.5,52.88,53.02,53.13,-0.11,-0.207,126486.66,671919.217
688981.SH,20240102,53.02,53.27,52.72,52.96,53.02,-0.06,-0.1132,134591.47,713792.764
688981.SH,20240103,52.85,53.18,52.16,52.48,52.96,-0.48,-0.9063,128475.42,675958.355
688981.SH,20240104,52.5,52.7,51.42,51.88,52.48,-0.6,-1.1433,148885.03,773314.889
